ID;book_ID;supplier_ID;isActive;isPreferred;contractNumber;leadTime;minOrderQty;lastOrderDate;notes
550e8400-e29b-41d4-a716-446655445001;550e8400-e29b-41d4-a716-446655442001;0000100001;true;true;CNT-PH-2024-001;7;10;2024-10-01;Primary supplier for Harry Potter series - excellent terms
550e8400-e29b-41d4-a716-446655445002;550e8400-e29b-41d4-a716-446655442001;0000100006;true;false;CNT-SC-2024-001;14;25;2024-09-15;Secondary supplier for children's books
550e8400-e29b-41d4-a716-446655445003;550e8400-e29b-41d4-a716-446655442002;0000100001;true;true;CNT-PH-2024-002;7;10;2024-10-05;Continued partnership for HP series
550e8400-e29b-41d4-a716-446655445004;550e8400-e29b-41d4-a716-446655442003;0000100001;true;true;CNT-PH-2024-003;5;15;2024-09-28;Classic literature - priority supplier
550e8400-e29b-41d4-a716-446655445005;550e8400-e29b-41d4-a716-446655442003;0000100008;true;false;CNT-OUP-2024-001;10;20;2024-09-10;Academic publisher backup
550e8400-e29b-41d4-a716-446655445006;550e8400-e29b-41d4-a716-446655442004;0000100001;true;true;CNT-PH-2024-004;5;15;2024-09-25;Orwell classics - same publisher group
550e8400-e29b-41d4-a716-446655445007;550e8400-e29b-41d4-a716-446655442005;0000100002;true;true;CNT-HC-2024-001;12;8;2024-09-20;Mystery novels specialty supplier
550e8400-e29b-41d4-a716-446655445008;550e8400-e29b-41d4-a716-446655442005;0000100003;true;false;CNT-MP-2024-001;15;12;2024-08-30;Alternative supplier for mysteries
550e8400-e29b-41d4-a716-446655445009;550e8400-e29b-41d4-a716-446655442006;0000100004;true;true;CNT-SS-2024-001;10;5;2024-10-10;Horror genre specialist
550e8400-e29b-41d4-a716-446655445010;550e8400-e29b-41d4-a716-446655442007;0000100001;true;true;CNT-PH-2024-005;8;12;2024-09-18;Science fiction - reliable delivery
550e8400-e29b-41d4-a716-446655445011;550e8400-e29b-41d4-a716-446655442007;0000100007;true;false;CNT-WP-2024-001;21;30;2024-08-15;Technical/educational publisher backup
550e8400-e29b-41d4-a716-446655445012;550e8400-e29b-41d4-a716-446655442008;0000100001;true;true;CNT-PH-2024-006;8;12;2024-09-22;Asimov collection - main supplier
550e8400-e29b-41d4-a716-446655445013;550e8400-e29b-41d4-a716-446655442009;0000100001;true;true;CNT-PH-2024-007;7;5;2024-10-12;Special edition - premium terms
550e8400-e29b-41d4-a716-446655445014;550e8400-e29b-41d4-a716-446655442006;0000100005;false;false;CNT-HBG-2023-001;30;50;2024-06-15;Inactive - contract expired
